"studentid","lastname","firstname","HW1","Lab1","Project1","Quiz1","Test1","Test2"
23423235,"Dettmann","Jamie Lee",8,10,73,4,58,63
23523235,"Adams","Arley",5,10,67,2,51,54
32523523,"Shaffer","Hunter",10,9,85,4,91,84
32523524,"Tran-Hoang","Elizabeth",10,9,49,4,91,84
32523525,"Roda","Pablo",5,0,82,4,91,84
33646646,"Kennah","Dante",10,8,100,5,99,94
33646648,"Rough","Jordan",10,10,90,5,99,73
33646649,"Wiggins","Cicely",10,10,43,5,91,73
33646650,"Russell","Jessy",10,9,90,5,83,73
33646651,"Vasquez","Sandra",10,10,90,5,42,73
33646652,"Arellanes-Barreras","Sarah",10,9,53,5,83,73
33646653,"Nakarmi Dhital","Kristopher",10,0,81,5,83,73
33646654,"Badsky","Sean",0,7,81,5,83,73
33646655,"Guttadore","Azelia",0,3,81,5,83,73
33646656,"Chavez","Miki",10,10,85,5,83,73
